WorkerId_scrambled,uid,AcceptTime,SubmitTime,conditionAskOther,conditionshowFeedback,feedbacktext,nBlocks,nTrialsperBlock,nameOther,otherworkerId_scrambled,otherworkerperf,userAgent,whExpVersion,estBlock,idSet,BasicConcept,cid,actCorrectOther,actCorrectSelf,estCorrectOther,estCorrectSelf,estimationTime,GroupCount,mean_isCorrect,mean_Conf,mean_TotalTrialTime
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,1,15,reptile,4,9,8,12,3,10445,12,0.666666666666667,71.25,6241.25
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,2,13,reptile,4,4,11,8,4,5481,12,0.916666666666667,71.25,6209.16666666667
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,3,16,reptile,4,7,8,6,3,4933,12,0.666666666666667,58.75,5049.83333333333
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,4,14,reptile,4,3,6,5,2,4201,12,0.5,55,5133.08333333333
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,5,9,primate,3,4,2,3,3,6064,12,0.166666666666667,55,6444.33333333333
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,6,12,primate,3,5,6,5,5,4079,12,0.5,61.25,5248.16666666667
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,7,11,primate,3,12,11,5,7,4778,12,0.916666666666667,66.25,4800.66666666667
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,8,10,primate,3,6,4,2,2,4658,12,0.333333333333333,57.5,6827.16666666667
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,9,5,dog,2,2,4,4,3,3906,12,0.333333333333333,62.5,5421.83333333333
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,10,7,dog,2,4,7,3,4,4586,12,0.583333333333333,55,4117.66666666667
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,11,8,dog,2,2,8,3,4,3219,12,0.666666666666667,55,5191.41666666667
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,12,6,dog,2,7,10,3,4,3193,12,0.833333333333333,55,5013.16666666667
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,13,1,bird,1,2,1,3,2,3882,12,0.0833333333333333,57.5,4615.5
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,14,4,bird,1,8,8,4,5,3257,12,0.666666666666667,73.75,4640.5
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,15,2,bird,1,4,8,3,3,3137,12,0.666666666666667,56.25,4153
4Q1q1GFeMEarbHtByF9D6hXKlK8=,1,Thu Sep 23 15:59:00 PDT 2021,Thu Sep 23 16:55:15 PDT 2021,1,1,"",16,12,Josh,pxn+I25d3iKcd2aL9uTC3qKAxKc=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,16,3,bird,1,4,2,3,2,3800,12,0.166666666666667,55,3187.83333333333
PHSNlHlCyDXQpFtpWGG8TmBTODU=,2,Thu Sep 23 09:11:36 PDT 2021,Thu Sep 23 09:47:28 PDT 2021,1,1,"It was interesting and also humbling to realize I do not know the different types of animals. Thank you for that experience.",16,12,Faith,inRHfZPWOzuzqTiAxdcFpXG4pck=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,1,14,reptile,4,5,7,6,4,49380,12,0.583333333333333,30,13656.5
PHSNlHlCyDXQpFtpWGG8TmBTODU=,2,Thu Sep 23 09:11:36 PDT 2021,Thu Sep 23 09:47:28 PDT 2021,1,1,"It was interesting and also humbling to realize I do not know the different types of animals. Thank you for that experience.",16,12,Faith,inRHfZPWOzuzqTiAxdcFpXG4pck=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,2,13,reptile,4,4,11,6,6,10931,12,0.916666666666667,26.25,11870.75
PHSNlHlCyDXQpFtpWGG8TmBTODU=,2,Thu Sep 23 09:11:36 PDT 2021,Thu Sep 23 09:47:28 PDT 2021,1,1,"It was interesting and also humbling to realize I do not know the different types of animals. Thank you for that experience.",16,12,Faith,inRHfZPWOzuzqTiAxdcFpXG4pck=,Bottom,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",5,3,16,reptile,4,6,7,4,5,7189,12,0.583333333333333,40,9775.91666666667
